date,risk_score,alert,true_label
2020-06-06,0.592031,1,0.0
2020-06-07,0.5686898,1,0.0
2020-06-08,0.54295456,1,0.0
2020-06-09,0.50854975,1,0.0
2020-06-10,0.41138878,0,0.0
2020-06-11,0.38449425,0,0.0
2020-06-12,0.4304373,0,0.0
2020-06-13,0.41797343,0,0.0
2020-06-14,0.43261194,0,1.0
2020-06-15,0.4818142,0,1.0
2020-06-16,0.5662383,1,1.0
2020-06-17,0.59798634,1,1.0
2020-06-18,0.5937304,1,0.0
2020-06-19,0.5780132,1,0.0
2020-06-20,0.5602578,1,0.0
2020-06-21,0.5513699,1,0.0
2020-06-22,0.5412312,1,0.0
2020-06-23,0.48663256,0,0.0
2020-06-24,0.3937182,0,0.0
2020-06-25,0.3391386,0,0.0
2020-06-26,0.29016986,0,0.0
2020-06-27,0.28146288,0,0.0
2020-06-28,0.3195524,0,0.0
2020-06-29,0.33746082,0,0.0
2020-06-30,0.3777383,0,0.0
2020-07-01,0.40742117,0,0.0
2020-07-02,0.43504974,0,0.0
2020-07-03,0.46114382,0,0.0
2020-07-04,0.50254756,1,0.0
2020-07-05,0.50048625,1,0.0
2020-07-06,0.5000464,1,0.0
2020-07-07,0.5092839,1,0.0
2020-07-08,0.51147896,1,0.0
2020-07-09,0.51674855,1,0.0
2020-07-10,0.5296382,1,0.0
2020-07-11,0.5214679,1,0.0
2020-07-12,0.515373,1,0.0
2020-07-13,0.50855136,1,0.0
2020-07-14,0.48739943,0,0.0
2020-07-15,0.5056816,1,0.0
2020-07-16,0.509835,1,0.0
2020-07-17,0.49669328,0,0.0
2020-07-18,0.49549642,0,0.0
2020-07-19,0.49215385,0,0.0
2020-07-20,0.48801023,0,0.0
2020-07-21,0.46318164,0,0.0
2020-07-22,0.42593044,0,0.0
2020-07-23,0.3982266,0,0.0
2020-07-24,0.3726134,0,0.0
2020-07-25,0.34833038,0,0.0
2020-07-26,0.34881023,0,0.0
2020-07-27,0.3501052,0,0.0
2020-07-28,0.362792,0,0.0
2020-07-29,0.37800798,0,0.0
2020-07-30,0.40974006,0,0.0
2020-07-31,0.40983236,0,0.0
2020-08-01,0.450762,0,0.0
2020-08-02,0.47996184,0,0.0
2020-08-03,0.5361045,1,0.0
2020-08-04,0.5694327,1,0.0
2020-08-05,0.61242425,1,0.0
2020-08-06,0.60551906,1,0.0
2020-08-07,0.60412693,1,0.0
2020-08-08,0.60031253,1,0.0
2020-08-09,0.59095186,1,0.0
2020-08-10,0.6066456,1,0.0
2020-08-11,0.58148825,1,0.0
2020-08-12,0.43052393,0,0.0
2020-08-13,0.41528592,0,0.0
2020-08-14,0.4060147,0,0.0
2020-08-15,0.46809793,0,0.0
2020-08-16,0.55048805,1,0.0
2020-08-17,0.52616465,1,0.0
2020-08-18,0.51794744,1,0.0
2020-08-19,0.53085595,1,0.0
2020-08-20,0.5177327,1,0.0
2020-08-21,0.5093139,1,0.0
2020-08-22,0.44342765,0,0.0
2020-08-23,0.3715317,0,0.0
2020-08-24,0.33283982,0,0.0
2020-08-25,0.3007412,0,0.0
2020-08-26,0.29090953,0,0.0
2020-08-27,0.26703453,0,0.0
2020-08-28,0.24359418,0,0.0
2020-08-29,0.26224032,0,0.0
